OBS.,ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
133,1,13520,0,23,0,1,1,0,0,0,2,0,1,2
1509,0,14780,0,22,2,1,0,1,0,3,0,3,0,0
1530,1,37570,0,62,2,1,0,0,1,3,0,4,0,4
1886,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
2463,0,12400,0,48,1,2,0,0,1,2,1,4,0,0
2667,1,14030,0,28,2,1,1,0,1,0,0,2,0,4
2812,1,9320,0,24,2,1,0,1,0,3,0,2,0,2
3555,1,11750,0,68,0,1,0,0,1,1,0,0,0,3
3659,1,69670,0,36,3,1,1,0,0,1,1,3,0,4
4006,1,3380,0,52,2,1,0,1,0,0,2,4,0,4
4227,1,40200,0,27,2,1,0,1,0,0,0,2,0,2
4503,1,14730,0,39,2,1,0,1,0,3,0,1,0,4
4530,0,68500,0,34,3,2,0,1,1,1,1,0,0,0
4633,1,7010,0,32,2,1,0,1,0,3,0,2,0,2
4734,1,19500,0,34,2,1,0,1,0,3,0,3,0,1
4822,1,21340,0,48,2,1,0,1,1,3,0,2,0,4
4999,1,12360,0,23,2,1,1,0,0,3,0,1,0,4
5549,1,27790,0,21,2,1,1,0,0,1,0,2,1,3
5594,1,12830,0,25,2,1,1,0,1,3,4,3,0,4
5613,1,19250,0,26,2,1,0,1,0,2,0,2,0,2
5648,0,50030,0,29,2,1,0,1,1,3,4,2,0,0
6496,1,35180,0,26,2,1,1,0,1,3,0,2,0,3
6622,1,27450,0,32,2,1,0,1,0,1,3,3,0,2
6742,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
7438,0,7950,0,53,2,1,0,1,0,0,0,1,0,0
7710,0,68360,0,63,2,1,0,1,0,0,0,4,0,0
7738,0,12460,0,23,1,1,0,1,1,1,0,1,0,0
7933,0,12820,0,32,1,1,0,1,0,0,1,2,0,0
8870,1,28720,0,36,2,2,0,1,0,3,1,4,0,4
9157,1,23310,0,49,2,1,0,1,0,3,4,4,0,4
9663,1,7300,0,46,1,1,1,0,0,3,4,4,0,2
9764,1,20730,0,28,2,1,0,1,0,3,1,2,0,2
10010,1,12620,0,25,2,1,0,1,0,3,0,2,0,2
10691,0,9310,0,32,1,1,0,1,1,1,1,1,0,0
10734,0,14420,0,32,1,2,0,0,1,0,0,3,0,0
11041,1,47950,0,30,3,1,0,1,0,1,0,1,0,1
11138,1,24040,0,26,2,1,0,1,0,3,0,2,0,2
11744,1,31860,0,20,2,1,1,0,1,3,3,3,0,3
12029,1,38500,0,27,2,1,0,1,0,3,0,3,1,1
12066,0,18640,0,30,2,1,0,1,0,3,1,2,0,0
12237,0,35520,0,27,2,1,0,1,0,0,0,3,0,0
12338,1,19570,0,31,2,1,0,1,0,0,0,3,0,4
12486,0,48170,0,31,2,1,0,1,1,0,0,3,0,0
12493,1,21460,0,23,2,1,1,0,0,3,0,1,0,3
12630,1,21080,0,29,2,1,1,0,0,3,0,3,0,2
12789,0,83180,0,42,3,1,0,0,0,1,0,4,0,0
13059,1,27600,0,36,2,1,0,0,0,1,4,4,1,4
13088,0,18370,0,34,1,1,0,0,0,1,0,3,0,0
13167,1,14180,0,35,1,1,1,0,1,3,1,2,0,2
13816,1,53020,0,36,3,1,0,0,1,0,0,4,0,4
14980,0,34410,0,21,2,1,1,0,0,1,1,2,0,0
15199,1,23150,0,52,1,1,0,1,0,0,0,4,0,4
15218,0,29690,0,25,2,1,1,0,0,1,0,1,0,0
15779,1,8460,0,36,2,1,0,0,0,3,4,4,0,4
15938,1,63040,0,36,2,1,0,1,0,3,4,4,0,4
16375,1,12870,0,45,1,1,0,1,1,3,4,4,0,2
16390,0,64580,0,39,3,2,0,1,1,3,0,4,0,0
16840,1,10550,0,30,2,1,0,1,1,3,0,1,0,1
17220,1,4260,0,39,1,1,0,1,0,3,0,4,0,4
17325,1,10920,0,49,2,1,0,1,0,1,0,2,0,4
17428,1,13300,0,26,2,1,0,1,1,2,0,1,0,1
17555,0,45910,0,54,3,1,0,1,0,3,3,2,0,0
17574,1,2760,0,22,1,1,1,0,1,1,0,2,0,4
17906,0,27120,0,41,2,2,0,1,0,0,0,4,0,0
18140,1,27820,0,31,3,1,0,1,1,3,2,3,0,2
19046,0,126800,0,30,3,1,0,0,1,3,4,4,0,0
19183,1,17660,0,21,2,1,1,0,0,3,0,2,0,2
19501,0,12850,0,32,2,1,1,0,1,0,4,3,0,0
19571,0,19220,0,37,1,1,0,1,0,1,0,2,0,0
19584,1,10680,0,28,2,2,0,1,0,1,0,4,0,4
19693,0,42810,0,23,2,1,0,1,0,0,2,2,0,0
20605,1,14120,0,29,3,1,0,1,0,3,0,2,0,2
20658,1,12950,0,27,2,1,0,1,0,1,0,1,0,1
20682,0,30510,0,54,2,1,0,1,0,0,0,2,0,0
21102,1,15160,0,43,1,1,0,1,0,3,3,2,0,1
21338,1,17550,0,58,1,1,0,1,0,0,0,4,0,4
21665,1,14740,0,33,3,1,0,1,0,2,0,1,0,1
21716,1,11490,0,46,2,1,0,1,0,3,3,2,0,3
21751,0,19080,0,66,3,1,0,1,0,2,0,4,0,0
22176,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
22364,1,21410,0,35,2,1,0,1,0,3,1,3,0,1
23045,1,11680,0,27,1,1,0,1,1,0,0,2,0,3
23163,1,10380,0,49,2,1,0,1,1,0,0,3,0,3
23217,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
24658,1,25220,0,39,2,2,0,1,0,0,0,4,0,3
25115,1,48110,0,24,1,1,1,0,0,3,4,3,1,4
25437,0,40570,1,43,2,1,0,1,0,1,0,3,0,0
25905,1,6250,0,26,1,1,0,1,0,1,0,1,0,1
26252,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
26450,0,145550,0,23,0,1,0,1,1,1,4,0,0,0
26547,0,71740,0,30,3,1,0,1,0,0,4,3,0,0
26832,1,15430,1,33,2,1,0,1,0,3,3,2,0,2
27564,1,12640,0,57,1,1,1,0,0,3,4,4,0,4
27748,1,11690,0,67,2,1,0,1,0,0,4,4,0,4
27807,0,25790,0,33,1,2,0,1,1,0,0,1,0,0
28254,1,20580,1,33,2,1,0,1,0,3,0,2,0,2
28830,0,31080,1,31,1,1,0,1,0,0,0,1,0,0
28869,1,75820,0,31,3,1,0,0,0,1,1,0,0,4
29007,1,39720,0,25,2,1,1,0,0,3,0,3,0,4
29051,1,9600,0,30,2,1,0,1,0,3,3,3,0,2
29677,0,31610,0,31,2,1,1,0,0,0,0,2,0,0
29962,0,13310,0,22,2,1,0,1,0,1,0,1,0,0
30075,0,50960,0,30,3,1,0,1,0,1,0,2,0,0
30076,1,23660,1,36,3,1,0,1,1,1,2,3,0,3
30406,1,60780,0,32,2,1,0,1,1,1,0,3,0,2
30765,0,80860,0,42,3,1,0,1,1,1,1,4,0,0
31239,1,25070,0,51,1,1,0,0,1,3,2,4,0,4
31279,0,7660,0,66,1,1,0,1,0,1,2,2,0,0
31418,1,59540,0,41,1,1,0,1,0,1,0,3,0,1
31789,0,52340,0,28,3,1,0,1,1,1,0,0,0,0
31821,1,15250,0,34,2,2,0,1,1,3,3,3,0,3
32385,1,14240,0,55,3,1,0,1,0,2,4,4,0,4
33600,1,33940,0,65,0,1,0,1,0,0,0,0,0,4
33654,1,26290,0,29,2,1,0,1,0,1,0,2,0,3
33990,1,15950,0,51,2,2,0,1,0,3,0,3,0,2
34194,1,35990,0,26,1,1,1,0,0,0,0,3,0,4
34209,0,15300,0,32,2,1,0,1,1,3,0,2,0,0
35755,1,12400,0,38,2,1,0,1,0,3,4,4,0,2
35778,1,7540,0,38,2,1,0,1,0,1,4,4,0,4
35917,1,59650,0,30,3,1,0,1,0,1,0,4,1,2
35948,1,21970,0,43,2,2,0,1,0,3,4,3,1,4
36840,1,12390,0,61,2,1,0,0,0,1,4,2,0,4
37270,0,22250,0,57,2,1,0,0,1,1,0,4,0,0
37422,0,23020,1,31,2,1,1,0,0,0,0,2,0,0
37555,1,41690,0,28,2,1,0,1,0,0,0,2,0,4
37633,0,48430,0,43,2,1,1,0,1,0,0,4,0,0
38043,1,19130,0,36,2,1,0,1,0,1,3,1,0,3
38235,1,19840,0,47,2,1,0,0,0,3,0,2,0,4
38258,0,63500,0,31,2,1,0,1,0,0,4,4,0,0
38342,0,31140,0,26,2,1,1,0,0,0,0,1,0,0
38583,1,16200,0,30,2,1,0,1,0,0,0,2,0,3
38586,1,23480,0,46,2,1,0,1,0,0,0,2,0,2
38700,1,12620,1,49,1,1,0,1,0,0,4,4,0,4
38895,1,34480,0,74,1,1,0,1,0,3,0,3,0,4
39330,0,23970,0,35,2,1,0,1,0,3,2,4,0,0
39817,1,15200,0,63,2,1,0,1,0,3,4,4,0,4
39959,0,126120,0,47,2,2,0,0,0,1,1,2,0,0
40092,1,12880,0,48,2,2,0,1,0,0,1,4,0,4
40358,1,27430,0,29,2,1,0,1,0,3,0,4,0,2
40441,0,9000,0,23,2,1,0,1,1,0,4,2,0,0
40835,1,11540,0,57,1,1,0,1,0,3,1,0,0,4
41050,1,12870,0,37,2,1,0,1,1,3,3,4,0,4
41377,1,94360,0,39,1,2,0,1,0,3,4,2,1,2
41523,1,6820,0,51,2,1,0,1,1,3,1,3,0,3
41701,0,8880,0,41,1,2,0,1,1,1,0,4,0,0
41809,1,13820,0,28,2,1,0,1,0,3,0,2,0,1
41862,0,44550,1,30,3,1,0,1,0,1,0,2,0,0
42237,1,20960,0,49,1,2,0,1,0,3,0,3,0,3
42623,1,15910,0,34,3,1,0,1,0,3,1,3,0,3
43435,1,95660,0,31,2,1,0,1,0,3,0,2,0,2
43660,0,27750,0,31,2,1,0,1,1,3,0,3,0,0
44152,0,21000,0,37,2,1,0,1,0,2,0,2,0,0
44341,1,19340,0,26,2,1,0,1,0,3,0,4,0,2
44544,1,26700,0,35,3,1,0,1,0,3,0,4,1,4
44865,0,89780,1,45,3,1,0,1,1,0,0,4,0,0
45284,1,39490,0,37,1,2,0,1,1,2,0,1,0,1
45745,1,110540,0,30,3,1,0,1,0,3,4,2,1,2
46464,0,12820,0,20,2,1,1,0,0,0,0,2,0,0
46978,1,19010,0,29,3,1,1,0,0,3,1,2,0,4
47149,0,39590,0,29,2,1,0,1,1,0,0,2,0,0
47193,1,60700,0,33,2,1,0,1,0,3,0,4,0,4
47809,0,28640,0,34,1,2,0,1,0,2,0,2,0,0
48182,0,12370,0,24,2,1,0,1,0,1,0,2,0,0
48221,0,47360,0,25,1,1,0,1,0,1,0,1,0,0
48279,0,9470,0,38,2,2,0,0,1,2,0,3,0,0
48437,0,33490,0,28,3,1,0,1,0,3,0,2,0,0
48727,1,10070,0,22,2,1,0,1,1,1,3,2,0,1
49907,1,25770,1,42,2,1,0,1,0,0,0,2,0,1
50127,0,23590,1,33,2,1,0,1,0,0,1,0,0,0
51120,1,32290,0,38,3,1,0,1,0,3,4,0,1,4
51620,0,21490,1,29,2,1,0,0,0,0,0,2,0,0
51816,1,12010,0,26,2,1,0,1,1,1,0,1,0,1
52805,1,15670,0,22,2,1,0,1,0,1,0,2,0,1
52913,0,76850,0,37,2,1,1,0,0,0,0,3,0,0
53505,0,6740,0,20,2,1,0,1,0,0,1,3,0,0
54357,0,33450,0,39,3,1,1,0,0,0,0,4,0,0
54364,0,25700,0,21,2,1,1,0,1,3,0,2,0,0
54664,1,12250,0,37,2,1,0,1,0,2,0,2,0,2
54817,0,129760,0,38,3,1,0,0,0,1,0,0,1,0
55611,0,19800,0,19,2,1,1,0,0,3,0,1,0,0
55941,0,12090,0,47,3,1,0,1,1,1,0,0,0,0
56464,1,46570,0,30,2,1,0,1,0,3,0,2,1,2
56662,1,15740,0,50,2,1,0,1,0,3,0,2,0,2
57220,0,20390,0,22,2,1,0,1,0,1,0,1,0,0
57481,1,70570,0,36,3,2,1,0,0,1,4,3,1,4
57645,0,18420,0,34,2,1,0,1,1,0,0,1,0,0
57704,0,68870,0,29,2,1,0,1,0,0,0,2,0,0
58052,0,55950,0,24,2,1,0,1,0,1,1,2,0,0
58145,0,74850,0,53,3,1,0,1,0,3,4,0,1,0
58759,0,21450,0,24,2,1,0,1,0,0,0,3,0,0
58926,1,14780,0,44,2,2,0,1,0,0,0,4,0,4
59139,0,11900,0,55,0,2,0,0,0,0,0,0,0,0
59220,1,47880,0,26,2,2,0,1,0,0,0,3,1,3
59548,0,23190,1,33,2,1,1,0,0,2,0,1,0,0
59578,0,25200,0,23,1,1,0,1,0,1,2,2,0,0
60331,1,26470,0,44,2,2,1,0,0,0,2,2,0,3
60410,1,61100,0,31,2,1,0,0,0,3,0,2,0,3
60628,1,24060,0,31,3,1,0,1,0,3,0,0,0,3
61762,0,7500,0,27,0,1,0,1,0,0,0,0,0,0
61894,1,13130,0,20,2,1,0,1,0,3,0,4,0,4
61974,1,9830,0,19,1,1,1,0,0,1,3,1,0,4
62405,0,18820,0,25,2,1,1,0,0,0,0,2,0,0
62847,1,3430,0,27,2,1,0,1,0,0,0,1,0,1
62852,1,44390,0,33,3,1,0,1,0,1,0,4,0,1
63076,1,38350,0,45,1,1,0,1,0,3,4,4,0,4
63557,1,28990,0,43,2,2,0,1,1,1,4,4,0,4
63564,1,72380,0,32,2,2,0,1,0,3,4,4,0,3
63813,1,15680,0,24,1,1,1,0,0,3,1,2,0,4
63946,0,15010,0,34,3,1,0,1,0,1,0,4,0,0
64585,1,26970,0,32,2,2,0,1,0,3,0,2,0,2
64700,0,62290,0,23,1,1,1,0,0,0,0,1,0,0
64850,1,30770,0,52,2,1,0,1,0,3,0,2,0,4
64888,0,13660,0,22,2,1,1,0,0,0,0,1,0,0
65134,1,64190,0,44,3,2,0,0,0,0,0,4,1,4
65223,1,21210,0,30,2,1,0,1,1,0,0,2,0,2
65700,0,39650,0,34,2,1,0,1,0,0,0,1,0,0
65920,1,13910,0,27,2,1,0,1,0,1,0,2,0,1
66133,1,9990,0,25,2,1,0,1,0,3,4,4,0,2
66360,0,78550,0,25,2,1,0,1,1,3,0,2,0,0
66669,1,9090,0,36,2,1,0,1,1,3,2,4,0,4
67114,0,39140,1,38,2,1,0,1,0,3,4,2,0,0
67214,1,14090,0,54,2,1,0,1,0,0,0,4,1,3
67235,1,5710,0,65,2,1,0,1,1,0,0,4,0,4
67440,0,9500,0,33,2,2,1,0,1,0,0,4,0,0
67733,0,27180,0,20,1,1,1,0,1,1,0,2,0,0
68102,0,13550,0,25,1,1,0,1,1,1,0,1,0,0
69068,1,17210,0,36,2,1,0,1,1,0,0,1,0,3
69265,0,24060,0,23,2,1,1,0,0,0,0,3,0,0
69473,0,109610,0,27,2,1,0,1,0,1,3,3,0,0
69530,0,99600,0,26,2,1,0,1,0,1,0,1,0,0
69569,0,34990,0,29,2,1,0,1,1,0,0,2,0,0
69610,0,10420,0,33,2,1,0,1,1,1,4,2,0,0
69731,1,36200,0,37,2,2,0,1,0,0,0,2,0,2
70146,0,41100,0,23,2,2,1,0,0,0,0,4,0,0
71123,0,61430,0,58,1,1,0,0,0,0,0,4,1,0
71283,1,23370,0,36,2,1,0,1,0,1,0,4,0,4
71407,0,59980,0,27,2,1,0,1,0,0,0,2,0,0
72304,1,38680,0,41,3,1,1,0,0,3,0,4,1,2
72333,1,34470,0,35,1,2,0,1,0,3,2,2,0,3
